BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,Classe,Dominio
0.021,0.022500000000000003,0.0386,0.0221,0.031200000000000002,0.038400000000000004,0.0444,0.038400000000000004,0.048600000000000004,0.19290000000000002,0.056900000000000006,0.028200000000000003,0,ANA
0.0247,0.0222,0.0298,0.0233,0.0228,0.015600000000000001,0.016800000000000002,0.0161,0.0165,0.015300000000000001,0.0155,0.0135,0,ANA
0.041,0.0369,0.0347,0.0327,0.0407,0.039900000000000005,0.0431,0.0376,0.0417,0.095,0.055400000000000005,0.043000000000000003,0,ANA
0.0286,0.0222,0.021500000000000002,0.016,0.0264,0.0247,0.028300000000000002,0.0264,0.0258,0.1645,0.0325,0.0175,0,ANA
0.0148,0.0155,0.0112,0.01,0.0088,0.0022,0.004200000000000001,0.0025,0.0016,0.004200000000000001,0.010100000000000001,0.009000000000000001,0,ANA
0.028900000000000002,0.032600000000000004,0.042300000000000004,0.0492,0.0762,0.1326,0.1505,0.1462,0.1529,0.1521,0.1459,0.0859,0,ANA
0.058300000000000005,0.0407,0.0385,0.0351,0.0424,0.0442,0.0545,0.0487,0.0545,0.1278,0.0784,0.0579,0,ANA
0.0548,0.028200000000000003,0.0322,0.024,0.0362,0.0592,0.0704,0.0659,0.07390000000000001,0.1333,0.0563,0.035,0,ANA
0.020800000000000003,0.0166,0.0167,0.0146,0.0219,0.0328,0.0376,0.034,0.0398,0.08370000000000001,0.0376,0.0218,0,ANA
0.0244,0.0177,0.015600000000000001,0.0126,0.016800000000000002,0.0199,0.0238,0.0238,0.025,0.16060000000000002,0.0251,0.0175,0,ANA
0.35760000000000003,0.43860000000000005,0.41240000000000004,0.383,0.4179,0.41550000000000004,0.4151,0.4665,0.4035,0.6199,0.4053,0.3693,0,ANA
0.39,0.36110000000000003,0.3673,0.3614,0.4254,0.4958,0.5301,0.5199,0.5431,1.1396,0.34800000000000003,0.2422,0,ANA
0.039400000000000004,0.0565,0.0969,0.0775,0.0737,0.0555,0.0649,0.055600000000000004,0.0616,0.14850000000000002,0.0597,0.037700000000000004,1,ANA
0.321,0.339,0.3294,0.3287,0.3589,0.3664,0.37220000000000003,0.385,0.3829,0.43770000000000003,0.4127,0.3627,0,ANA
0.0888,0.0673,0.07150000000000001,0.0733,0.08460000000000001,0.0955,0.1061,0.0888,0.11850000000000001,0.11950000000000001,0.1327,0.1246,0,ANA
0.0492,0.0356,0.045200000000000004,0.041100000000000005,0.06810000000000001,0.06720000000000001,0.0747,0.0634,0.07300000000000001,0.2421,0.0718,0.0478,0,ANA
0.023100000000000002,0.0522,0.06670000000000001,0.0604,0.0516,0.0603,0.06420000000000001,0.0594,0.0512,0.030100000000000002,0.076,0.0726,0,ANA
0.055,0.077,0.0884,0.0787,0.08030000000000001,0.0719,0.0813,0.0718,0.07,0.035,0.0873,0.0775,0,ANA
0.3035,0.2853,0.2926,0.28500000000000003,0.3224,0.3385,0.3509,0.34340000000000004,0.3541,0.9595,0.3008,0.2931,0,ANA
0.0339,0.031400000000000004,0.0511,0.0361,0.0304,0.022500000000000003,0.022500000000000003,0.0219,0.0229,0.0335,0.0284,0.023100000000000002,0,ANA
0.0199,0.0126,0.0241,0.0178,0.039400000000000004,0.10200000000000001,0.1199,0.11710000000000001,0.1328,0.0981,0.0889,0.0494,0,ANA
0.027100000000000003,0.0367,0.050100000000000006,0.0184,0.0118,0.004200000000000001,0.0046,0.002,0.0005,0.019200000000000002,0.009000000000000001,0.011600000000000001,0,ANA
0.0811,0.0891,0.10310000000000001,0.08360000000000001,0.0869,0.0809,0.08170000000000001,0.07880000000000001,0.0785,0.131,0.0804,0.0683,0,ANA
0.021,0.029500000000000002,0.0356,0.0135,0.009300000000000001,0.007500000000000001,0.0089,0.007500000000000001,0.007500000000000001,0.023,0.0078000000000000005,0.006200000000000001,0,ANA
0.0196,0.041800000000000004,0.058300000000000005,0.068,0.06720000000000001,0.0673,0.068,0.0723,0.0668,0.0279,0.0772,0.076,0,ANA
0.047,0.031400000000000004,0.043500000000000004,0.043500000000000004,0.0424,0.0275,0.0287,0.025900000000000003,0.024800000000000003,0.0927,0.031900000000000005,0.023200000000000002,1,ANA
0.0466,0.0316,0.0434,0.0448,0.044000000000000004,0.026600000000000002,0.027700000000000002,0.024300000000000002,0.0204,0.09040000000000001,0.027600000000000003,0.0217,0,ANA
0.0152,0.0143,0.023100000000000002,0.013000000000000001,0.016300000000000002,0.007500000000000001,0.007200000000000001,0.0071,0.0066,0.0016,0.0053,0.0031000000000000003,0,ANA
0.0664,0.0733,0.0886,0.07830000000000001,0.0913,0.1058,0.11230000000000001,0.1082,0.1106,0.1699,0.11330000000000001,0.0917,0,ANA
0.0441,0.0546,0.1012,0.0489,0.0816,0.0432,0.045200000000000004,0.0345,0.033100000000000004,0.0184,0.0233,0.020800000000000003,0,ANA
0.0724,0.1015,0.1311,0.1206,0.17270000000000002,0.2876,0.2985,0.2993,0.3251,0.2928,0.2549,0.1895,0,ANA
0.042300000000000004,0.0476,0.0702,0.0713,0.0823,0.0771,0.0857,0.0733,0.0833,0.10160000000000001,0.07830000000000001,0.057300000000000004,0,ANA
0.029900000000000003,0.0324,0.0437,0.0273,0.0287,0.026000000000000002,0.0256,0.0221,0.0224,0.0211,0.0132,0.0099,0,ANA
0.0504,0.056100000000000004,0.0553,0.0414,0.0426,0.0415,0.043500000000000004,0.0368,0.041800000000000004,0.032600000000000004,0.031200000000000002,0.028200000000000003,0,ANA
0.0264,0.0356,0.0526,0.053700000000000005,0.055200000000000006,0.042,0.043500000000000004,0.0349,0.0386,0.0762,0.048,0.0374,0,ANA
0.0134,0.0252,0.0366,0.0126,0.006,0.0004,0.0004,0.0002,0.0001,0.0002,0.0031000000000000003,0.0039000000000000003,0,ANA
0.0111,0.0207,0.0274,0.0094,0.0059,0.002,0.0019,0.0021000000000000003,0.0021000000000000003,0.0036000000000000003,0.0076,0.006500000000000001,0,ANA
0.3644,0.2932,0.3,0.3088,0.3779,0.4038,0.4127,0.37420000000000003,0.42510000000000003,1.5497,0.38680000000000003,0.40340000000000004,0,ANA
0.033800000000000004,0.0453,0.067,0.047900000000000005,0.035,0.0135,0.0159,0.0117,0.0105,0.0077,0.0068000000000000005,0.0047,0,ANA
0.0395,0.0476,0.08080000000000001,0.0579,0.0427,0.0218,0.023700000000000002,0.021,0.021,0.0415,0.017,0.0125,0,ANA
0.030600000000000002,0.0436,0.065,0.0497,0.0374,0.0117,0.0119,0.009000000000000001,0.006500000000000001,0.00030000000000000003,0.0028,0.0019,0,ANA
0.019700000000000002,0.0267,0.0367,0.031200000000000002,0.025900000000000003,0.014400000000000001,0.0183,0.0137,0.0125,0.0253,0.0064,0.0035,0,ANA
